id,roll_no,name,age
1,1002,Sachin,21
2,1003,Reva,23
3,1004,Sachi,24
4,1005,Vina,25
5,1006,Rani,26
6,1007,Sita,27
7,1002,Sachin,21
8,1003,Reva,23
9,1004,Sachi,24
19,10001,John Smith,18
20,10002,Emily Johnson,19
21,10003,Michael Brown,20
22,10004,Sarah Davis,18
23,10005,Daniel Wilson,19
24,10006,Jessica Lee,20
25,10007,David Miller,18
26,10008,Olivia Jones,19
27,10009,James Anderson,20
28,10010,Sophia Taylor,18
29,10011,Ethan Martinez,19
30,10012,Isabella Garcia,20
31,10013,Alexander Clark,18
32,10014,Ava Rodriguez,19
33,10015,William Hall,20
34,10016,Mia Martinez,18
35,10017,Benjamin Allen,19
36,10018,Charlotte White,20
37,10019,Samuel Young,18
38,10020,Amelia Scott,19
39,10021,Daniel Green,20
40,10022,Harper Harris,18
41,10023,Joseph Adams,19
42,10024,Grace Turner,20
43,10025,Christopher King,18
44,10026,Lily Perez,19
45,10027,Henry Martinez,20
46,10028,Sophia Hernandez,18
47,10029,Elijah Davis,19
48,10030,Ella Wilson,20
49,10031,Alexander Johnson,18
50,10032,Scarlett Smith,19
51,10033,William Anderson,20
52,10034,Amelia Brown,18
53,10035,Liam Taylor,19
54,10036,Evelyn Clark,20
55,10037,Jackson Jones,18
56,10038,Aria Miller,19
57,10039,Samuel Garcia,20
58,10040,Abigail Lee,18
59,10041,Owen Martin,19
60,10042,Sophia Adams,20
61,10043,Lucas Hall,18
62,10044,Mia Rodriguez,19
63,10045,Benjamin Martinez,20
64,10046,Emma Scott,18
65,10047,Ava Young,19
66,10048,Noah White,20
67,10049,Olivia Harris,18
68,10050,James Turner,19
69,10001,John Smith,18
70,10002,Emily Johnson,19
71,10003,Michael Brown,20
72,10004,Sarah Davis,18
73,10005,Daniel Wilson,19
74,10006,Jessica Lee,20
75,10007,David Miller,18
76,10008,Olivia Jones,19
77,10009,James Anderson,20
78,10010,Sophia Taylor,18
79,10011,Ethan Martinez,19
80,10012,Isabella Garcia,20
81,10013,Alexander Clark,18
82,10014,Ava Rodriguez,19
83,10015,William Hall,20
84,10016,Mia Martinez,18
85,10017,Benjamin Allen,19
86,10018,Charlotte White,20
87,10019,Samuel Young,18
88,10020,Amelia Scott,19
89,10021,Daniel Green,20
90,10022,Harper Harris,18
91,10023,Joseph Adams,19
92,10024,Grace Turner,20
93,10025,Christopher King,18
94,10026,Lily Perez,19
95,10027,Henry Martinez,20
96,10028,Sophia Hernandez,18
97,10029,Elijah Davis,19
98,10030,Ella Wilson,20
99,10031,Alexander Johnson,18
100,10032,Scarlett Smith,19
101,10033,William Anderson,20
102,10034,Amelia Brown,18
103,10035,Liam Taylor,19
104,10036,Evelyn Clark,20
105,10037,Jackson Jones,18
106,10038,Aria Miller,19
107,10039,Samuel Garcia,20
108,10040,Abigail Lee,18
109,10041,Owen Martin,19
110,10042,Sophia Adams,20
111,10043,Lucas Hall,18
112,10044,Mia Rodriguez,19
113,10045,Benjamin Martinez,20
114,10046,Emma Scott,18
115,10047,Ava Young,19
116,10048,Noah White,20
117,10049,Olivia Harris,18
118,10050,James Turner,19
119,10001,John Smith,18
120,10002,Emily Johnson,19
121,10003,Michael Brown,20
122,10004,Sarah Davis,18
123,10005,Daniel Wilson,19
124,10006,Jessica Lee,20
125,10007,David Miller,18
126,10008,Olivia Jones,19
127,10009,James Anderson,20
128,10010,Sophia Taylor,18
129,10011,Ethan Martinez,19
130,10012,Isabella Garcia,20
131,10013,Alexander Clark,18
132,10014,Ava Rodriguez,19
133,10015,William Hall,20
134,10016,Mia Martinez,18
135,10017,Benjamin Allen,19
136,10018,Charlotte White,20
137,10019,Samuel Young,18
138,10020,Amelia Scott,19
139,10021,Daniel Green,20
140,10022,Harper Harris,18
141,10023,Joseph Adams,19
142,10024,Grace Turner,20
143,10025,Christopher King,18
144,10026,Lily Perez,19
145,10027,Henry Martinez,20
146,10028,Sophia Hernandez,18
147,10029,Elijah Davis,19
148,10030,Ella Wilson,20
149,10031,Alexander Johnson,18
150,10032,Scarlett Smith,19
151,10033,William Anderson,20
152,10034,Amelia Brown,18
153,10035,Liam Taylor,19
154,10036,Evelyn Clark,20
155,10037,Jackson Jones,18
156,10038,Aria Miller,19
157,10039,Samuel Garcia,20
158,10040,Abigail Lee,18
159,10041,Owen Martin,19
160,10042,Sophia Adams,20
161,10043,Lucas Hall,18
162,10044,Mia Rodriguez,19
163,10045,Benjamin Martinez,20
164,10046,Emma Scott,18
165,10047,Ava Young,19
166,10048,Noah White,20
167,10049,Olivia Harris,18
168,10050,James Turner,19
